,Date,Title,Author,Abstract
10,2017-09-14,Guerres (2/2),Muscadet," Le carnet de voyage gastronomico-historique s’estompe peu à peu, laissant place à une autobiographie dont certains événements grotesques et trop parfaitement touchants qui la composent égratignent la véracité. Mais peu importe au final, que Muscadet existe ou pas, que la vie narrée soit inventée ou non; l’auteur s’engouffre avec malice et macintosh dans les crevasses de la contemporanéité, hante les derniers instants de la civilisation, les ruines qu’il arpente appartenant aussi bien au passé qu’au présent. Dommage cependant que cette plume ne soit au service d’un défaitisme qu’il pense raisonné. Se mêlent ainsi des réflexions pertinentes mais tautologiques sur la guerre remarketée en projet héroïque, l’argent et les réalités sociologiques, des considérations navrantes sur la procréation et la lâcheté que l’auteur pense distribuée équitablement en chacun de nous (auto-validant de la sorte son logiciel de clochard céleste, à moins que cela ne vise le réveil du lecteur ?), ou bien encore cette obsession à vouloir faire de la décence un concept petit-bourgeois. Muscadet semble peu au fait des lourdes sanctions qui frappent les hommes libres ou feint d’ignorer qu’il existe d’autres voies que celle du sous-singe, mais soit. On regrettera donc cette fin à la Tyler Durden."
11,2021-02-20,"Mon épouse, ses oeufs et son yoni",Lunatik-," Subtil placement de produit dans ce texte excellemment écrit par Lunatik- . Pas un mot n'y est répété deux fois, tous les synonymes les plus inventifs y passent. Aussi j'en recommande la lecture aux enfants. Si vous êtes un adulte vous devez absolument le lire aussi car on y découvre tout un tas de procédures très utiles en société. Exotisme en partenariat avec Nature et Découvertes."
12,2005-09-14,Balistique,Narak," Narak écrit toujours aussi bien et c'est un plaisir de le lire, par contre il a trop bouffé de Fight Club, ça contamine pas mal son style. Le texte s'attache à la fascination qu'exercent les armes à feu sur le narrateur et les conséquences psychopathologiques qui s'ensuivent. C'est pas original mais c'est mécanique, sombre, violent. Très bon texte. Narak a également photographié son anus chromé et s'en est servi pour illustrer ce texte."
13,2007-05-01,De passage (nrz tribute mix),Aem," Nounourz avait demandé à Aem de travailler avec lui sur son remix du texte 'De passage', d'Aka, qui retranscrivait le ressenti d'une victime de viol. Après la publication de la version de Nourz, Aem a continué le boulot de son coté et le résultat est là : effroyablement sombre, brutal, glauque et sans concessions. Tour de force : la violence du texte n'entame jamais sa subtilité psychologique. A lire et relire régulièrement."
14,2017-03-03,Effets de manche (2/2),Muscadet," Suite et fin de la dernière aventure en date du personnage récurrent de Muscadet, cet étrange journaliste belge parcourant on ne sait trop pourquoi les 11 dimensions de la théorie M tout en arpentant quelques îles de la Manche et en sondant les âmes d'autochtones de la contemporanéité et de l'Histoire qu'il contourne tels des obstacles dans son pèlerinage mental tout en absorbant leur substance vitale. Toujours pas trace d'un quelconque Milou comme on peut le voir en illustration à des fins purement racoleuses. Croisons les doigts pour que Moulinsart SA ne nous fasse pas un procès. On m'a dit qu'ils étaient tatillons et ne négocient leur licence qu'avec Spielberg. Ici Tintin est trismégiste en mode power up ultime et n'a même plus besoin de quête, d'amis ou de méchants pour exister. Il est pris dans une transe macroniène, en marche dans des territoires tant géographiques qu'introspectifs. Et bien entendu, c'est du Muscadet, c'est excellentissime. Comme j'avais tout lu d'un coup, je ne me souviens plus trop de la césure entre les deux parties mais de toutes manières, elle est artificielle et dictée par des contraintes purement techniques alors on s'en fout. Je vous conseille de tout lire d'une traite, la météo s'annonce pourrie et je poste la seconde partie exclusivement pour égayer un week end qui s'annonce exécrable. (Je ne spoile pas mais en réalité votre week end sera sublimé, transcendé, ce sera le week end de votre vie.)"
15,2006-01-16,LEX5,nihil," Le dernier épisode de la série, et comme il se doit, le bouquet final. Ceux qui voulaient de l'action seront servis, ceux qui préfèrent la psychose ne se sentiront pas lésés. Le hic c'est que tout ceci n'a rien d'original, au contraire c'est l'archétype du texte de pétage de plombs, rien qu'on ait déjà lu ou vu, et rien d'imprévisible. Mais ça claque dans tous les sens, pour ça y a rien à dire."
16,2005-08-06,On raconte...,Glaüx-le-Chouette," Ce texte est un OVNI. Je serai sans doute le seul à trouver que c'est un texte extraordinaire, la plupart n'y comprendront rien, ou le lâcheront en cours de route pour cause d'ennui ou de style pédant. Et c'est vrai, ce texte à cheval entre la poésie et la prose mérite ces critiques. Mais il y a un vent de folie sourde, de cruauté et d'horreur qui courre sur cette oeuvre malsaine, organique et puissante. Ca pourrait être le septième chant de Maldoror."
17,2004-02-03,Origine,Lapinchien," Lapinchien se cogne le Nouveau Testament avec cet évangile selon Saint-Thomas, l'apôtre de la raison et du doute contre la foi aveugle. Comme on s'en doute c'est une remise en question globale de l'histoire connue, voire une apologie de la remise en question. C'est comme toujours très bon, ce coup-ci j'ai quand même trouvé que LC s'était un peu inspiré d'autres zonards, y a de la confusion, de l'hallucination, voire même quelques descriptions ! C'est entre autres pour ça que j'aime. Excellent."
18,2005-09-10,La main mariale,Glaüx-le-Chouette," La Bible c'est vraiment un chouette texte à parodier. Ce texte concourt pour les Jeux Olympiques de la Connerie 2005 et relate une scène du nouveau testament, sans doute quelque peu mise de coté par les écritures. On y voit Notre Seigneur Jésus-Christ en proie à la tentation, et y cédant plutôt deux fois qu'une. Hilarant."
19,2003-08-21,Survivance,Lapinchien," On tient le premier article franchement sérieux de Lapinchien, et comme on pouvait s'y attendre, c'est une bombe. Cet essai philosophico-scientifique réclamera des efforts de compréhension à beaucoup, il faut s'accrocher et rester concentré, mais le résultat en vaut la peine et ouvre le lecteur à une métaphysique inédite de la remise en cause et à une nouvelle conception de l'évolution des espèces. A lire à tout prix."
20,2003-01-09,Le poids du silence,Aka," Je serai peut-être le seul lecteur à trouver que ce texte est un chef-d'oeuvre, mais j'assume. Il décrit à la première personne les pensées qui traversent une personnalité privée de tout stimulus extérieur, pas de son, pas d'images. Une monstrueuse recherche de vérité avec une progression terrible et une plongée dans la folie la plus pure. Originalité, cohérence implacable, style sobre mais efficace, tout y est. A lire absolument."
21,2004-07-23,"Urine, sexe et mécanique",Bobby-Joe," Ca commence comme un film d'entreprise pourri des années 80 accouplé avec un bouquin de Houellebecq, mais c'est en réalité une histoire profondément scabreuse (j'ai appris un nouveau mot moi, je suis content, je le ressors à toutes les sauces), avec dedans des bouts encore vivants de pornographie de quartier nauséeuse et cradingue. Ce texte est un modèle du genre, bien qu'on ne sache pas encore de quel genre. Sordide, stupide, gore, complètement inutile et totalement indispensable."
22,2004-11-09,Les anges mécaniques,Boiss," Boiss nous décoche une putain d'incantation obsessionnelle en milieu hospitalier, tordue et poétique comme une chanson de Thiéfaine. On se laisse porter par la musique rageuse des mots, fasciné, sans ennui devant un texte pourtant sans intrigue. Quelques faux pas à regretter, des changements de ton ou des petites pointes d'humour qui n'ont rien à faire ici, mais globalement, cette ode à l'agonie morphinique est magnifique et glaçante."
23,2004-11-11,Néo-Inquisition 06,nihil," Néo-Inquisition touche à sa fin. Le narrateur se retrouve une nouvelle fois isolé et désemparé, mais il poursuit sa route sans tenir compte des embuches au milieu du chaos qui gagne peu à peu l'Hôpital-Prison. Comme dans toute bonne saga, on a droit au combat final, genre le boss de fin de niveau. C'est l'occasion pour quelques dernières révélations. Episode brutal, sombre et axé principalement sur la confusion générale qui se répand et le basculement de la société."
24,2005-02-28,Liquid inside,Narak," Ca commence comme une énième resucée de Fight club : personnage speed, dérangé, style MTV clip... Puis les idées sympas s'enchainent, le héros prend de la crédibilité. Narak va jusqu'au bout du délire, même si ça peut frôler le ridicule. L'écriture est aussi moins travaillée que d'habitude. Du coup on finit un peu le cul entre deux chaises : le très bon cotoie le très mauvais. A lire quand même. L'image est de Nounourz."
25,2005-07-27,Le ver ou la chenille,Glaüx-le-Chouette," Dans son style surlittéraire un poil prétentieux, Glaüx nous présente un portrait d'artiste soit-disant maudit qui se la pète grave. On passe des plombes sur le décor, le costume, les traits de caractère du héros. C'est très ennuyeux mais ça sent le sarcasme à plein nez, voire l'auto-dérision. Peu à peu ça tourne à la farce et la fin est assez amusante. Bref c'est plutôt pas mal, ça méritait juste d'être moins long."
26,2005-11-17,n3rDz 4 : éclosion,Lapinchien," Décidemment, il semble que nos quatre abrutis de service, les héroïques nerdz de cette saga intraculière, vont devoir sortir de chez eux. Akaiô, qui voit sa connexion coupée n'a pas d'autre choix. C'est donc cette aventure hors-du-commun que nous relate Glaüx dans une partie déjantée à souhait. Suivent les déboires de Preacher confronté à sa porte d'entrée et ceux de Kikoolol84, proprement extirpé de son nid douillet au pied de biche."
27,2006-11-01,LEX1,nihil," Ce texte est plus vieux que la Zone, mais je n'ai que récemment pris le temps de le reprendre entièrement pour le publier. Ce premier épisode met en scène un jeune employé perturbé et dépressif, placé dans un monde professionnel qu'il exècre et qui le rejette. De la pure tranche de vie quotidienne sombre et amorphe, très circonstanciée et un peu autobiographique."
28,2006-02-22,Le doigt de Dieu,Glaüx-le-Chouette," Cette nouvelle c'est un peu le single de la carrière zonarde de Glaüx, comme Arch-Nemesis est le mien. Il a écrit des choses plus profondes, plus novatrices, mais celui-ci est un texte à la fois bien foutu et très accessible pour le lecteur. La passion de Glaüx pour les artistes maudits est le moteur du texte, leur folie et leur panache y sont traités de fond en comble. Lisible, intéressant, prenant : c'est du tout bon."
29,2008-03-24,La nuit noire (1),Konsstrukt," Konsstrukt revient avec une nouvelle rubrique (comme par hasard). La surprise du jour, c'est qu'il a pour le moment lâché son style ultra-laconique pour une écriture plus conventionnelle mais nettement moins agaçante. Le narrateur est un genre de névrosé obsessionnel qui évoque quelques souvenirs d'enfance juste assez tordus pour nous convenir. Et c'est vraiment bien : sobre sans être terre-à-terre, calme mais pas ennuyeux, malsain à souhait. Vivement la suite."
30,2008-07-16,La nuit noire (5),Konsstrukt," Bizarrement, sans qu'il se passe grand-chose dans cet épisode (pas d'action, pas d'évenement particulier), une sorte de frénésie s'installe. Notre héros, désormais adolescent, est de plus en plus instable. Les réflexions s'enchainent de plus en plus vite, mêlées de visions psychopathos liées à la consommation de médicaments et d'alcool. Toujours aussi maitrisé et toujours aussi formidable."
31,2008-07-21,Komakino,Narak," Ambiance urbaine et post-apocalyptique pour une ville remplie de camés et de déchets humains. Tout repose sur l'atmosphère pesante et onirique : faut pas trop compter sur les personnages, qui ne sont que des figurants fantomatiques, ni sur l'intrigue totalement disloquée. Heureusement, Narak est un maître, et assume ses choix ardus. Son texte est suffisemment étrange et prenant, son écriture assez particulière pour réduire à néant toutes les objections."
32,2009-12-04,Qui paiera pour Gérard ?,Dourak Smerdiakov," Alors que la Zone résonne de frénésie combustible, Dourak reste sobre et donne dans le désespoir ordinaire et social. Il centre son texte sur les retrouvailles d'anciens camarades de lycée, éloignés par la vie. Disons-le tout de suite : il manque les explosions, le bullet time, les putes et les ragondins. Et pourtant, le résultat est à tomber par terre : bien écrit, poignant, terriblement humain. Profondément pas sautillant du tout, mais ce texte mérite d'être considéré hors du cadre étriqué de la Saint-Con."
33,2010-12-09,Du sable dans l'oeil,Koax-Koax," Difficile de faire plus court que ce texte, à part peut être TA CHATTE TA CHATTE TA CHATTE : deux phrases, des virgules partout, un pétage de plomb en règle en pleine rue, et de la tripaille qui vole. Pourquoi pas."
34,2011-01-23,Survivance (le film),Lapinchien," Voilà une nouveauté sur la zone : on prend un vieux texte zonard, on vend les droits à Hollywood, et on fait tourner le film avec les acteurs vedettes du moment. Lapinchien a décidé de montrer l'exemple en se rachetant ses droits à lui-même et en faisant tourner Glaüx-le-chouette et Mill. Il faut un début à tout."
35,2012-11-30,"Père Noel, métempsychose et crachats",CTRL X," Voici un premier texte d'un nouvel auteur en adéquation avec le ton du site. On sera donc heureux d'accueillir CTRL X, et surtout son texte, fresque sociale à l'humour amer et tragique dont le narrateur vient s'inscrire dans une longue tradition de héros humanistes et pédagogues, triangularisable quelque part entre le Settembrini de Thomas Mann, le misanthrope de Molière, et le Terminator de James Cameron."
36,2014-04-25,Les enchanteurs III — Ce soir ou jamais,Kwizera," Kwizera continue avec la suite de sa saga de Saint-con, Les enchanteurs, dans ce troisième épisode où l'on croise du monde et davantage, de la cible à bruler d'une qualité combustible indiscutable. Bien écrit, dans la ligne directe des épisodes précédents, avec certes une crémation un peu expédiée mais suffisamment bien pensée pour tenir la route, c'est en somme un bon texte pour cette presque fin de Saint-con."
37,2015-08-02,Marre du swing.,Mill," Le narrateur du Cri de la chtouille s'en prend cette fois-ci au swing, cette forme de jazz des années 30 et 40, ou plutôt à ses nouveaux adeptes, ces néo-zazous qui nous ramènent aux heures les plus sombres de notre Histoire. No pasaran."
38,2015-10-04,Economie solidaire et obsession du centre dans l’œuvre de Wes Anderson #SaintCon2015,CTRL X," Le meilleur texte de Saint Con qu'il ne m'ait été donné l'occasion de présenter depuis bien longtemps. Absolument incontournable CMB. Tout dans sa construction semble avoir été calibré avec soin, une suite de péripéties improbables auxquelles on a peine à ne pas croire tant on se prend une explosion d'images et de sonorités et d'odeurs et de senteurs et de saveurs et trucs tactiles que même dans un Imax sous LSD et Oculus Rift intégral ta race jamais ils ne feront mieux ces bâtards d'innovateurs de l'Entertainment à la noix. C'est comme si Quentin Tarantino avait super bien adapté un polar du poulpe. DES DIALOGUES PLEINS DE GOUAILLE ET DE R2PARTIE QUE T4AIMERAIS EN CROISER EN VRAI DES GENS COMME 9A TELLEMENT REALISTES QU4ILS N4EXISTENT PAS. C'est un pur chef d'œuvre. Trame narrative de patineur russe surentrainé depuis l'âge de deux ans et dialysé à l'EPO/pot belge toute son adolescence durant. MAIS que WES ANDERSON s'en retourne dans son slip ! ça n'a rien à voir avec lui ! Une fresque sociétale de la contemporanéité qui te fera fondre comme un camembert zélé en plein cagnard. CTRL X. OH QUE MAIS JE T4OFFRE MA RONDELLE QUAND TU VEUX § Susurre moi ta prose en crachotant du liquide séminal dans ma cochlée ! Perfore-moi le nombril ! Perfore-moi le nombril ! Perfore-moi le nombril ! Perfore-moi le nombril ! ENCORE § Petite BITCH § ENCORE §"
39,2015-08-05,En Plein cœur. PAN! Pas ailleurs. (6),Valstar Karamzin," Valstar Karamzin, bien qu'aillant totalement disparu de la circulation, nous a livré un chef d'œuvre. On croyait sottement que ce serait la série de l'été 2014 sur la Zone. Ce n'était qu'un préambule. Voilà là un auteur bien intentionné et plein de bonnes manières. Il écrit du lourd et prend le soin dans ses messages complémentaires de faciliter la vie des admins de la Zone en faisant ses propres résumés. C4EST VRAIMENT TR2S URBAIN CHER PAPE § D'ailleurs j'ai un peu reformaté le texte en plaçant dans l'introduction les messages complémentaires de l'auteur qui seront probablement les bienvenus pour le commun des mortels pour se rafraîchir la mémoire (ou pas, ce texte peut très bien être lu indépendamment du reste de la saga, sans préambule et il reste intrinsèquement et coupé du reste, un pur chef d'œuvre) Non seulement la première partie en 5 épisodes était juste sublime de noirceur/ de justesse littéraire / d'univers lynchien post punkoïde / de situations improbables / de dialogues à faire déprimer sévère Quentin Tarantino MAIS CETTE SECONDE PARTIE s'annonce déjà avec ce premier TEXTE dans la même veine, avec la genèse du monstre qu'on a croisé dans la première partie, le changement de narrateur et la justesse de l'intrigue, du senti pétri de bon sens de l'enchainement des scènes. UN TRUC G2NIAL comme il nous en tombe que très rarement sur le coin de la gueule du type astéroïde ayant décimé les dinosaures. Et puis si après tout ce que je raconte ici vous ne lisez pas ce texte au minimum puis que vous n'enchaînez pas avec l'intégralité de la première partie d'une traite si vous ne l'avez pas encore lue ET BIEN VOUS ËTES JUSTE DE GROS ABRUTIS QUI ALLEZ PASSER 0 COT2 D4UN DES MEILLEURS TRUCS QU4IL PUISSE SE PRODUIRE DANS UNE VIE D4HUMAIN DE MERDE, loin devant la naissance de vos gosses et de votre mariage, à des années lumière."
40,2015-09-22,Les voisins des gens,Jean-Claude Goiri," Le chat de Schrödinger est une expérience de pensée imaginée en 1935 par le physicien Erwin Schrödinger, afin de mettre en évidence des lacunes supposées de l'interprétation de Copenhague de la physique quantique, et particulièrement mettre en évidence le problème de la mesure. La mécanique quantique est relativement difficile à concevoir car sa description du monde repose sur des amplitudes de probabilité. Ces fonctions d'ondes peuvent se trouver en combinaison linéaire, donnant lieu à des « états superposés ». Cependant, lors d'une opération dite de « mesure » l'objet quantique sera trouvé dans un état déterminé ; la fonction d'onde donne les probabilités de trouver l'objet dans tel ou tel état. C'est la mesure qui perturbe le système – par effet Compton – et le fait bifurquer d'un état quantique superposé vers un état mesuré. Cet état ne préexiste pas à la mesure : c'est la mesure qui semble le faire advenir. Toutefois, la notion de mesure ou de bifurcation n'apparaît pas explicitement ni même indirectement dans le formalisme quantique, et les tentatives d'en faire surgir cette notion se heurtent à d'extrêmes difficultés. En conséquence, certains physiciens n'accordent aucune réalité physique au concept de mesure ou d'observation. Pour eux, les états superposés ne s'effondrent pas, et l'état mesuré n'existe pas réellement. C'est pour faire apparaître le caractère paradoxal de cette position et pour poser de manière frappante le problème que Schrödinger a imaginé cette expérience de pensée."
41,2015-09-23,Tapage nocturne et neiges précoces,CTRL X," Sublime texte de CTRL X qui nous changera du déluge de nouvelles oniriques et basés sur la méthode du cut-up ou du serial insert. Et même s'il y a le compte rendu d'un rêve, on n'est plus dans un script de David Lynch et ça fait plaisir de lire un texte long, aussi bien maîtrisé stylistiquement parlant et avec une superbe unité. Certes, il y a quand même un flashback mais rien n'est gratuit et par dessus le marché ça sert surtout la déconne totale mais sobre qui règne du début à la fin sans incartade. Donc ça nous change de l'écriture automatique même si cette dernière est également appréciable. Il est bon d'alterner les plaisirs. Des références surprenantes et désopilantes ponctuent de plus le récit d'un semi-trentenaire précoce qui s'amuse à faire une sorte de répétition de ce qui sera indubitablement sa middle life crisis de dans 5 ou 6 ans. Et bien sûr je parle du narrateur et non de l'auteur qui est probablement un vieux zonard ayant changé de pseudonyme (certains indices de type table-basse, vous mettrons probablement sur la voie)"
42,2015-09-29,Rondel du vieux tacot,Dourak Smerdiakov," Pendant les travaux, la démolition continue..."
43,2016-01-01,"2016, année de la synérèse",Dourak Smerdiakov," ""Oui, je t'encule Synérèse, je te prends, je te retourne contre le mur, je te baise par tous les trous, je te défonce, je te mets, Synérèse !"" J'ajoute un peu de French Touch, celle qui file la gastroentérite, dans le commentaire car le sonnet de Dourak dans sa contribution au dossier ""Sonnet à Sylvestre"" est juste sublimissime, certes peut provoquer de graves strabismes divergents à la première lecture, mais à la seconde devient sublimissime. Sonnet technique de luxe donc et on espère secrètement une suite. ""Oui, je t'encule Diérèse, je te prends, je te retourne contre le mur, je te baise par tous les trous, je te défonce, je te mets, Diérèse !"""
44,2016-01-23,Nous sommes tous des uberputes.,Mill," Pour son intronisation en tant qu'admin de la Zone, Mill a choisi de montrer patte blanche en se coulant gentiment dans le thème lancé par Lapinchien sur l'Uber et l'argent d'Uber. Le style se veut laconique, proche de Palahniuk et autres parasites littéraires. Imaginez un monde uber, un ubermonde où chacun se vendrait selon les prix fluctuants d'un marché toujours plus concurrentiel. Un monde où nous serions tous la pute d'un autre, un monde parfait, quoi. Bon, après, soyons clair : Mill reste à jamais la précieuse ridicule que nous connaissions tous. Tout ça manque de budget, de sexe et d'explosion. Oui mais ce serait pas le but justement ? Oui mais ta gueule en fait."
45,2016-01-03,Fond du Poëme,Khlamydon Kükipät," Curare- et son approche un peu singulière de la vie qu'elle est belle avec des petits oiseaux qui chantent, de l'émogothitude assumée, de l'hermétisme obscurantiste orthodoxe et des citations et hommages aléatoires, de la case et de la ponctuation de type ASCII Art pointilliste, s'attire tout un lot de copycats qui s'en donnent à cœur joie dans la parodie. Je fous tout de suite une photo de Gainsbourg un peu strange en illustration pour attirer d'autres poètes maudits dans le coin. En effet, toute cette émulation autour des sonnets est bien rigolote. Et pour ma part, ça vaut bien du Gérard De Nerval dans sa période journaliste au Figaro. Ici un nouveau pseudo pour un auteur qu'on fera semblant de ne pas reconnaitre. On plagierait bien du Chopin pour mettre ce texte en musique."
46,2016-08-03,Brouillons d'histoires,Mill," De mieux en mieux. Mill nous avoue manquer de temps pour écrire et jouer les admins. Ah bravo. Le petit malin croit s'en tirer en proposant un listing de résumés, synopsis, brouillons, rayez les mentions inutiles. On peut voir la chose de deux façons : une entourloupe bien tournée pour certains, un aveu d'impuissance pour d'autres. En fait, non, il y a un troisième point de vue : en quelques traits de crayons, l'auteur esquisse des portes ouvertes qu'il refuse d'enfoncer, laissant peut-être le soin à d'autres de se coltiner le sale boulot. Autant d'invites au voyage qui blablabla. On est pas chez Télérama, bigre !"
